week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-18,-0.7738481590997991,0.5392889160313321,-0.49777152114415624,0.2136965720867009,4.0
2026-19,-0.5380154200668328,0.4991999815126985,0.12484908990731716,1.179008291263461,9.0
2026-20,0.21763727563957477,0.846841558498447,-0.1893537477078883,0.9138034436683419,26.0
2026-21,0.11149596228442192,0.9758574070576356,0.22499619274496674,0.9712121949188645,31.0
2026-22,-0.2744690412308892,1.0577471461010126,-0.3580528076764119,0.4174704237795834,17.0
2026-23,0.218107485126002,0.9636127423392153,-0.005503300080255304,0.8507042681291497,32.0
2026-24,0.023924301080537048,0.9423769682139722,0.09623100715808759,1.1026129916823117,39.0
2026-25,-0.14609234868219367,1.0381647530704952,0.022097065524369217,0.9117592198400157,41.0
2026-26,0.24205399384611764,0.9862483835363082,0.10196970727177812,1.121759761506067,33.0
2026-27,0.10753089439453942,1.0532431422841921,0.26309738391842774,1.1336209009713318,28.0
2026-28,0.1316893154991077,0.8070000776389483,-0.22133346827726122,0.7230123781434248,31.0
2026-29,0.12612663403601143,1.1343099201564737,0.05271214914199804,1.0185724578876145,13.0
2026-30,-0.01174911423032207,0.9213914440644487,0.1118334048979471,0.7915619491030508,22.0
2026-31,-0.02309703089644173,0.9617968303441022,0.10606821456085126,0.8961464920968429,22.0
2026-32,-0.14922838609390512,0.7412422647217031,-0.18358826831174846,1.1031815613158562,18.0
2026-33,-0.6367660807652692,0.7741307752976333,0.5354612838092077,1.4391554234846888,10.0
2026-34,0.6408733912452271,0.5015864125850613,-0.46155558316146816,0.5061040213320508,4.0
2026-35,-0.4347176980226017,0.9130390471106726,-0.5283050944123056,0.3236699877323783,15.0
