topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Energiewende,0.15468125375689568,0.8946188832004468,-0.04730181183668467,0.9083426182500858,215.0
Geo_Engineering,-1.460178861313336,1.0,1.502938298604359,1.0,1.0
Gesundheit,0.07754046199523623,0.8868318663984555,0.4436673775132238,1.1277509485060566,12.0
Industrie,0.26237407330619866,1.542932047917237,-0.4647697239728254,0.47871130956413804,6.0
Klimaextreme,0.3669240085713345,0.09197237242716422,-0.5204278171441904,0.1536987809942953,3.0
Klimawandel,-0.2810474644047121,0.9204740678731355,0.049538820632005126,0.9811966600410029,118.0
Landwirtschaft,-0.1184824497921986,1.022252707281041,0.1974716363134974,1.134623527157811,20.0
Oekologie,0.8084425943699411,1.0,0.4357336551750698,1.0,1.0
Verkehrswende,-0.11988768583169104,1.3628652737528806,-0.08627175996980085,1.4334252537820917,7.0
Waermewende,0.14574103560852636,1.0753907815123365,-0.02582864114189905,0.8500269443204241,25.0
Wasserversorgung,-0.04530427460448416,0.8984067073265225,0.33065948559437325,1.630130294665391,4.0
