day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-05-09,-0.9938879473629738,0.3817640002906997,-0.47571362836032516,0.2560859886405969,3.0
2026-05-10,-0.11372879431027498,1.0,-0.5639451994956495,1.0,1.0
2026-05-11,-0.47892058510379654,0.23740711299116724,1.16724380790044,1.5588501858327528,3.0
2026-05-13,-0.364167755865985,0.8088671335251407,-0.5781870615398029,0.08485757096206714,3.0
2026-05-14,-0.6131644369589498,0.39877771591354255,0.005151487824546441,0.9319425452035706,2.0
2026-05-16,-1.0865448837742504,1.0,-0.653831405565149,1.0,1.0
2026-05-18,-0.08512974464322236,0.6733774497842163,-0.6362817509531056,0.12879480625251874,4.0
2026-05-19,0.3480119094850564,0.7841024732532871,0.37716744643698913,1.3727514392742683,3.0
2026-05-20,0.00689322965672039,0.4736153474690472,0.7221467796936498,1.3178942092815877,5.0
2026-05-21,-0.841046919896658,0.6611829634192697,-0.5715425531494887,1.0,2.0
2026-05-22,0.5410667298892008,1.039299980950861,-0.5943364786834383,0.28632669820158174,10.0
2026-05-23,0.4101094055250894,1.0,-0.2091421843601976,1.0,1.0
2026-05-24,0.7819034038392806,1.0,-0.653831405565149,1.0,1.0
2026-05-25,0.6567496430057992,1.0958088234681533,-0.5989721706213754,0.0475094910934869,3.0
2026-05-26,0.4743578910914683,0.47307658310726974,1.2472055969930183,0.5217462144599935,2.0
2026-05-27,0.285765838262059,0.8149257933128797,0.0459305553824587,0.9639321143046679,9.0
2026-05-28,-0.8755070505208451,1.089264296391793,0.017983513475036756,0.7313702382747308,6.0
2026-05-29,-0.05821492951384106,0.5800064943399239,1.4210974080886047,1.2961333774899224,4.0
2026-05-30,0.5060304448180022,1.0234867131247984,-0.11985756687890722,0.3878691415287246,5.0
2026-05-31,0.4606336861743193,1.0430654863557276,0.24597188917865964,1.1396990752868366,2.0
2026-06-02,-0.3447671060439987,0.9827169129387582,-0.21914039718457634,0.5383445032177829,3.0
2026-06-03,-0.4510918469454721,1.20636340030497,-0.3926296982473415,0.29870645043642835,4.0
2026-06-04,-0.8528699333087684,0.965547439998562,-0.5989408830691836,0.1731338384077246,4.0
2026-06-05,0.10396009156043116,1.0,-0.8395843599714761,1.0,1.0
2026-06-06,-0.3655640229533825,0.9795856226883092,0.20212400679528697,0.35008904919883405,3.0
2026-06-07,1.2884533577617787,0.5970638055144021,-0.6149909370467788,0.07788623026024867,2.0
2026-06-08,0.4338172791498838,0.9171503406507597,0.8696152575737992,1.489041640702529,5.0
2026-06-09,0.12220515498692858,0.6226953426844789,-0.5523813008274739,0.5043938825490916,4.0
2026-06-10,0.27506297241862315,1.0272556496254772,-0.4419204467615099,0.4581209588346414,9.0
2026-06-11,0.31559772077433224,0.7447308583655535,0.23635138866329067,0.49650425215227784,8.0
2026-06-12,-1.0743272820633223,2.379913561725171,0.20713723916585183,0.9717753155797941,2.0
