keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Balkonkraftwerk',0.13998437599776012,0.6711447322321484,-0.0808379836551852,0.662428220098133,6.0
'Batterieproduktion',0.6184488489645457,1.0,-0.6888467201936644,1.0,1.0
'Batteriespeicher',0.13610692725242543,0.7543370561718316,-0.0771503937738288,0.625750004143364,6.0
'Bioenergie',-1.0912257171021222,1.0,-0.668667721700346,1.0,1.0
'Biogas',0.2,1.0,0.0,1.0,1.0
'Dunkelflaute Energiewende',-0.6752074935564876,1.0,-0.5639451994956495,1.0,1.0
'Energiewende Klimawandel',0.5576296873962945,1.0,-0.6459861653993092,1.0,1.0
'Energiewende',0.14325036985019735,0.9789262556075609,-0.06874944590900478,0.8562961756968185,106.0
'Gaskraftwerke Energiewende',0.3209355069733329,0.5968000936083413,0.37087887652653156,1.0735406730180854,4.0
'Geoengineering',-1.460178861313336,1.0,1.502938298604359,1.0,1.0
'Gesundheit Klimawandel',0.07754046199523623,0.8868318663984555,0.4436673775132238,1.1277509485060566,12.0
'Industrie Klimawandel',0.26237407330619866,1.542932047917237,-0.4647697239728254,0.47871130956413804,6.0
'Kernfusion',0.6965565306733572,0.9335820653536823,-0.3548597520230441,0.6260412858323853,10.0
'Kernkraft Energiewende',0.5773502691896255,1.0,-0.5773502691896256,1.0,1.0
'Klimaextreme Klimawandel',0.3669240085713345,0.09197237242716422,-0.5204278171441904,0.1536987809942953,3.0
'Klimawandel',-0.2810474644047121,0.9204740678731355,0.049538820632005126,0.9811966600410029,118.0
'Landwirtschaft Klimawandel',-0.1184824497921986,1.022252707281041,0.1974716363134974,1.134623527157811,20.0
'Lithium Energiewende',0.3589852663303871,0.7177804171230774,0.012321560616519595,0.5599436298327771,5.0
'Netzausbau Energiewende',-0.01706367330945702,0.8829156096060133,-0.10008073531307018,0.6763994584949626,6.0
'Solaranlagen Energiewende',1.3993466063279671,1.105600790044245,0.18298251581331848,0.691355400361177,2.0
'Stromspeicher Energiewende',-0.18589502168201943,0.05595378337943547,2.253014130789214,0.4233918289431706,3.0
'Verbrenner-Aus Energiewende',0.10355516536103174,0.778403483817951,-0.01389255306098292,1.0350611147385984,39.0
'Verkehrswende',-0.11988768583169104,1.3628652737528806,-0.08627175996980085,1.4334252537820917,7.0
'Wasserstoff Energiewende',0.3303062289659975,0.8912946830704586,-0.21453646397677517,0.9032321673711495,6.0
'Wasserversorgung Klimawandel',-0.04530427460448416,0.8984067073265225,0.33065948559437325,1.630130294665391,4.0
'Windkraft Energiewende',-0.4584642102295075,0.8337158954350161,-0.0025495267175618787,1.2299189689619618,7.0
'Wärmewende',0.14574103560852636,1.0753907815123365,-0.02582864114189905,0.8500269443204241,25.0
'erneuerbare Energien Energiewende',0.0638385505643974,0.9188917477274406,-0.13545926223706606,1.2845005829700906,6.0
'fossile Brennstoffe Energiewende',-0.8063650724786176,0.8834211391147946,-0.5358229353469974,0.0,2.0
'fossile Brennstoffe',0.06303654741904079,1.0094781605880985,0.013842444614209434,0.9882302476882213,3.0
'fossile Subventionen Energiewende',-0.01306062528295484,1.0,-1.148302014789678,1.0,1.0
'Ökologie Klimawandel',0.8084425943699411,1.0,0.4357336551750698,1.0,1.0
